FID,STRASSENNA,Shape_Leng,d_RADWEGAR,START_X,START_Y,END_X,END_Y
10259,Terofalstraße,5.315700047,Radfahr-/Schutzstreifen,684201.774,5333232.9,684196.4583,5333232.9
10260,Riesenfeldstraße,4.640677895,Getrennter Rad- und Gehweg,690419.5588,5340255.582,690421.9113,5340259.375
10261,Maria-Eich-Straße,10.10303908,Übergang,682463.9274,5335423.403,682464.9196,5335433.457
10262,Becker-Gundahl-Straße,4.121448863,Übergang,687957.635,5328897.226,687961.7518,5328897.422
10263,Altostraße,10.59231191,Getrennter Rad- und Gehweg,679700.8381,5336486.948,679708.9762,5336480.168
10264,Maria-Eich-Straße,21.07791222,Getrennter Rad- und Gehweg,682435.8153,5335202.938,682442.0992,5335223.047
10265,Aubinger Straße,49.00610418,Gehweg Radverkehr frei,680198.2767,5336284.646,680152.4434,5336301.99
10266,Lochhausener Straße,9.955495246,Gemeinsamer Geh- und Radweg,679039.6449,5338776.485,679031.4304,5338782.109
10267,Joseph-Wild-Straße,125.1533185,Gemeinsamer Geh- und Radweg,699591.24,5334786.84,699702.5292,5334831.19
10268,Sonnenblumenstraße,13.44207024,Getrennter Rad- und Gehweg,685152.5673,5331336.301,685153.4152,5331322.892
10269,Sonnenblumenstraße,64.57626563,Getrennter Rad- und Gehweg,685161.8358,5331238.822,685165.2365,5331174.351
10270,Friedrich-Domin-Weg,17.99652312,Gemeinsamer Geh- und Radweg,696335.9735,5330331.464,696347.0058,5330317.519
10271,Riemer Straße,39.48170426,Gemeinsamer Geh- und Radweg,699667.207,5335421.546,699706.4554,5335424.872
10272,Michl-Lang-Weg,71.79953438,Gemeinsamer Geh- und Radweg,696411.6571,5330515.129,696387.9107,5330447.391
10273,Aubinger Straße,15.91501184,Gehweg Radverkehr frei,679910.909,5336309.694,679896.6226,5336302.68
10274,Lochhausener Straße,82.95866639,Gemeinsamer Geh- und Radweg (Zweirichtungsradweg),680233.4934,5338516.783,680315.8896,5338507.515
10275,Geiselgasteigstraße,7.492369586,Übergang,689862.9583,5327769.308,689860.5363,5327762.218
10276,Aidenbachstraße,63.34617759,Getrennter Rad- und Gehweg,687910.7389,5330517.455,687912.6683,5330454.762
10277,Geiselgasteigstraße,6.541886312,Übergang,689798.5559,5327550.36,689796.9855,5327544.009
10278,Geiselgasteigstraße,297.2188368,Radweg,690119.2944,5328635.518,690198.3458,5328922.028
10279,Boschetsrieder Straße,15.77942057,Übergang,687136.2069,5330247.412,687120.6198,5330244.956
